2023-01-25T01:47:20.640Z,md,"3km ESE of Ferndale, CA",earthquake
2023-01-25T01:15:27.870Z,ml,"70 km SE of Pope-Vannoy Landing, Alaska",earthquake
2023-01-25T01:12:51.415Z,mb,"118 km SSW of Żurrieq, Malta",earthquake
2023-01-25T01:00:48.872Z,mwr,"61 km E of Namie, Japan",earthquake
2023-01-25T00:51:39.960Z,ml,"10 km NE of Pāhala, Hawaii",earthquake
2023-01-24T23:35:54.690Z,md,"62 km N of Culebra, Puerto Rico",earthquake
2023-01-24T22:54:58.121Z,mb,"Bonin Islands, Japan region",earthquake
2023-01-24T20:33:56.557Z,ml,"54 km S of Whites City, New Mexico",earthquake
2023-01-24T20:25:34.729Z,mww,"104 km S of Żurrieq, Malta",earthquake
2023-01-24T20:17:57.728Z,mb,"192 km NW of Tobelo, Indonesia",earthquake
2023-01-24T20:14:21.029Z,ml,"56 km S of Whites City, New Mexico",earthquake
2023-01-24T20:12:55.847Z,mb,"157 km NNW of Tobelo, Indonesia",earthquake
2023-01-24T20:08:48.943Z,ml,western Texas,earthquake
2023-01-24T19:57:04.255Z,ml,"55 km S of Whites City, New Mexico",earthquake
2023-01-24T19:25:40.572Z,mb,"174 km NW of Tobelo, Indonesia",earthquake
2023-01-24T19:08:29.504Z,mb,"102 km NNE of Calama, Chile",earthquake
2023-01-24T18:37:00.133Z,mww,"31 km WSW of Campo Gallo, Argentina",earthquake
2023-01-24T18:20:03.730Z,md,"9km SE of Rio Dell, CA",earthquake
2023-01-24T16:56:19.490Z,ml,"3 km SW of Pāhala, Hawaii",earthquake
2023-01-24T16:10:15.889Z,mww,"208 km NNE of Tobelo, Indonesia",earthquake
2023-01-24T15:57:08.550Z,mb,"44 km NNW of Smirnykh, Russia",earthquake
2023-01-24T15:30:01.067Z,ml,"12 km W of Clam Gulch, Alaska",earthquake
2023-01-24T13:55:02.028Z,ml,"24 km NW of Nikiski, Alaska",earthquake
2023-01-24T13:11:21.953Z,mb,"187 km NW of Tobelo, Indonesia",earthquake
2023-01-24T13:07:04.210Z,ml,"11 km SE of Tyonek, Alaska",earthquake
2023-01-24T12:27:22.450Z,md,"113 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake
2023-01-24T12:08:10.840Z,ml,"18 km ESE of Naalehu, Hawaii",earthquake
2023-01-24T12:06:34.119Z,mb,"164 km NW of Tobelo, Indonesia",earthquake
2023-01-24T11:57:52.254Z,mb,"125 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake
2023-01-24T11:23:08.350Z,mwr,"138 km NNE of Calama, Chile",earthquake
2023-01-24T11:18:45.880Z,md,Mona Passage,earthquake
2023-01-24T11:08:10.068Z,mb,"148 km NW of Tobelo, Indonesia",earthquake
